,2020/03/18,2020/03/19,2020/03/20,2020/03/21,2020/03/22,2020/03/23,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08,2020/04/09,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21,2020/04/22,2020/04/23,2020/04/24,2020/04/25,2020/04/26,2020/04/27,2020/04/28,2020/04/29,2020/04/30,2020/05/01,2020/05/02,2020/05/03,2020/05/04,2020/05/05,2020/05/06,2020/05/07,2020/05/08,2020/05/09,2020/05/10,2020/05/11,2020/05/12,2020/05/13,2020/05/14,2020/05/15,2020/05/16,2020/05/17,2020/05/18,2020/05/19,2020/05/20,2020/05/21,2020/05/22,2020/05/23,2020/05/24,2020/05/25,2020/05/26,2020/05/27,2020/05/28,2020/05/29,2020/05/30,2020/05/31,2020/06/01,2020/06/02,2020/06/03,2020/06/04,2020/06/05,2020/06/06,2020/06/07,2020/06/08,2020/06/09,2020/06/10,2020/06/11,2020/06/12,2020/06/13,2020/06/14,2020/06/15,2020/06/16,2020/06/17,2020/06/18,2020/06/19,2020/06/20,2020/06/21,2020/06/22,2020/06/23,2020/06/24,2020/06/25,2020/06/26,2020/06/27,2020/06/28,2020/06/29,2020/06/30,2020/07/01,2020/07/02,2020/07/03,2020/07/04,2020/07/05,2020/07/06,2020/07/07,2020/07/08,2020/07/09,2020/07/10,2020/07/11,2020/07/12,2020/07/13,2020/07/14,2020/07/15,2020/07/16,2020/07/17,2020/07/18,2020/07/19,2020/07/20,2020/07/21,2020/07/22,2020/07/23,2020/07/24,2020/07/25,2020/07/26,2020/07/27,2020/07/28,2020/07/29,2020/07/30,2020/07/31,2020/08/01,2020/08/02,2020/08/03,2020/08/04,2020/08/05,2020/08/06,2020/08/07,2020/08/08,2020/08/09,2020/08/10,2020/08/11,2020/08/12,2020/08/13,2020/08/14,2020/08/15
Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,7,7,7,8,11,12,12,14,15,16,18,19,20,21,22,23,23,23,23,23,23,24,26,26,26,26,28,30,36,40,40,41,41,43,45,45,46,49,50,51,55,58,61,64,65,67,72,73,73,77,80,86,91,96,102,105,107,109,112,115,118,123,124,124,126,132,135,136,139,140,144,144,144,146,150,152,153,156,158,160,164,166,167,167,168,169,171,172,173,174,175,175,175,177,177,180,184,185,185,186,186,186
Ancash,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,5,7,7,7,7,9,12,15,18,21,22,27,35,39,40,41,49,56,60,65,79,81,85,93,97,107,114,119,125,141,153,164,175,184,190,200,212,217,222,234,246,258,265,268,278,282,288,302,315,327,341,358,372,383,399,413,431,444,461,472,484,507,522,538,547,557,578,596,606,626,637,644,655,671,683,694,707,716,724,732,746,755,775,788,799,808,816,824,826,833,839,848,853,855,862,870,876,882,886,896,903,912,921,931,934,939,946,952,963,971,974,977,982,989,996,998,1003,1009,1013,1025,1035,1039,1044,1049,1053,1058,1064,1068,1075,1085,1092
Apurimac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,4,4,4,4,4,5,5,5,6,8,8,8,8,8,9,10,10,11,11,12,12,13,15,15,15,16,16,17,17,19,20,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,26,26,26,28,28,29,30,32,32,33,36,37,37,38,39,40,41,41,41,41,42,42,42,43,47,47,48,48,50,51,53,53
Arequipa,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,6,6,6,6,6,6,6,6,7,9,9,10,11,11,11,14,15,15,15,16,16,18,18,18,18,18,18,19,20,20,20,20,20,23,23,23,24,25,25,25,25,25,26,26,30,32,33,34,36,40,42,42,43,46,48,54,59,64,65,66,71,74,75,75,80,86,96,100,110,121,124,130,136,149,160,169,174,181,194,203,218,224,227,240,245,260,268,279,295,305,317,324,338,348,358,371,383,405,421,442,464,489,510,523,549,570,585,600,616,643,664,679,697,711,726,733,741,756,770,791,807,821,846,855,882,895,906,925,941,951,961,973,984,992
Ayacucho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,5,6,6,6,6,6,7,8,9,10,11,13,15,15,15,15,16,17,17,18,18,20,21,23,25,25,26,27,27,27,27,28,31,35,35,37,40,42,43,45,47,49,50,51,57,58,59,60,61,64,66,69,71,73,74,75,78,80,82,85,89,90,93,94,99,106,108,113,117,125,126,130,134,139,145,150,154,155,155,156,158,158,158,159,160,161,162,162,164,164,164,166,168,168,168,168,169,169,171,173
Cajamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,4,4,4,4,4,5,5,7,7,9,9,10,10,10,10,10,11,11,11,12,13,13,13,13,14,14,17,17,19,21,21,21,23,23,23,24,24,24,26,27,29,30,31,31,34,36,36,39,41,43,46,48,50,53,55,56,61,64,66,69,73,77,79,85,89,94,95,102,113,124,134,143,149,159,167,173,184,200,207,218,222,226,230,232,232,235,236,241,243,245,249,251,252,254,257,262,270,274,277,279,281,283,285,290,293,298,305,306,316,320,324,327,335,338,342,344,349,350
Callao,0,0,0,0,1,1,1,1,1,1,1,3,3,5,8,10,11,13,15,20,22,23,26,30,33,37,42,48,51,59,65,73,76,84,96,104,116,133,139,151,160,168,183,199,209,221,238,254,270,290,308,328,344,362,382,399,408,429,450,473,500,524,544,576,608,636,665,696,708,731,751,775,803,825,848,872,896,930,940,951,963,966,976,985,993,1009,1014,1027,1039,1052,1073,1081,1088,1102,1116,1125,1130,1138,1147,1159,1171,1186,1194,1200,1208,1218,1221,1225,1233,1239,1248,1253,1263,1272,1277,1285,1292,1295,1305,1318,1325,1334,1340,1349,1352,1356,1365,1376,1382,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1386,1393,1406,1414,1424,1429,1431,1440,1445,1451,1463,1469
Cusco,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,17,18,18,19,19,20,20,21,22,25,26,27,28,32,32,34,34,34,34,34,35,38,39,40,42,43,44,44,44,45,46,47,47,48,48,49,49,51,52,52,54,55,60,62,66,67,72,74,84,85,86,90,92,94,99,101,107,115,125,134,138,148,150,158,164,170,171,177,182,189,194,203,207
Huancavelica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,6,6,6,6,6,7,7,8,10,10,10,10,10,10,10,11,11,12,12,12,12,12,13,13,14,14,16,17,19,20,23,25,25,25,25,25,25,25,27,28,28,29,29,31,31,33,33,36,37,37,37,38,38,38,38,39,39,39,39,41,41,43,44,49,50,52,57,59,59
Huanuco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,8,9,10,10,11,11,11,11,11,11,12,13,15,15,16,18,21,23,24,24,25,26,30,32,34,36,37,37,38,38,41,43,47,50,54,57,62,65,68,70,74,79,84,89,91,97,100,108,112,115,120,124,130,133,136,146,146,151,154,157,162,165,169,172,174,176,179,181,190,196,201,206,211,214,218,220,223,228,230,235,238,242,244,245,245,247,249,250,252,253,259,265,266,268,275,278,280,283,283,284,285,292,294
Ica,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,5,5,5,5,7,8,10,11,14,16,17,18,20,21,23,24,26,31,36,38,43,46,49,54,57,66,73,77,85,93,99,107,113,121,124,127,141,146,152,157,163,169,173,184,196,208,215,230,233,248,262,276,282,295,313,325,341,364,375,400,424,438,457,470,485,501,524,542,556,578,601,613,639,659,682,698,728,751,771,791,812,835,851,865,883,899,917,929,935,946,962,972,984,999,1007,1019,1033,1049,1062,1072,1086,1094,1104,1115,1122,1131,1141,1150,1157,1167,1173,1178,1184,1195,1202,1212,1219,1229,1240,1251,1263,1276,1288,1299,1310,1317,1324,1335,1341,1347,1348,1353,1358
Junin,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,5,5,5,5,7,8,8,8,9,10,10,11,13,14,14,14,14,14,16,17,20,20,20,20,24,27,33,35,37,40,40,41,42,47,50,51,54,57,59,60,61,63,66,70,71,74,77,79,81,82,85,88,91,93,95,99,103,111,115,121,131,137,137,146,151,156,157,158,159,163,167,171,175,179,184,186,189,191,197,201,207,213,218,230,240,242,249,255,264,272,280,292,300,311,325,336,340,346,353,364,373,385,392,397,403,415,421,429,433,445,452,458,468,476,479,486,501,509,517,523,534,541,549,556
